Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68a335ed88ac1f6b796bb81d,67665f7b0329bd3e30515ad2,AWAITING REVIEW,Not Applicable,2025-08-18T14:17:17.679000Z,2025-08-18T14:54:19.382000Z,,2025-08-18T14:54:19.780633Z,2222.0,C14M5UWB,1244,"English, Other","No, I have no issues seeing colours",35,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
68a335f3322441fd58177b76,67cdb9db623de444e19e6fe6,AWAITING REVIEW,Not Applicable,2025-08-18T14:17:37.675000Z,2025-08-18T14:45:22.214000Z,,2025-08-18T14:45:22.678152Z,1665.0,C14M5UWB,758,English,"No, I have no issues seeing colours",56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
68a3361bffc184c970011cd2,6095e6bff657f30496a59d0e,AWAITING REVIEW,Not Applicable,2025-08-18T14:18:32.315000Z,2025-08-18T14:33:08.233000Z,,2025-08-18T14:33:08.841842Z,876.0,C14M5UWB,620,English,"No, I have no issues seeing colours",30,Female,White,United States,United States,United States,English,No,Full-Time
68a3363324129b213341fc66,6476aa4940468b5c3eec6e63,RETURNED,Not Applicable,2025-08-18T14:25:52.086000Z,,,2025-08-18T15:53:04.601313Z,,,907,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68a336515d9bd7638ec2dbb0,6684497541f835bd67a199b2,RETURNED,Not Applicable,,,,2025-08-18T15:53:04.602529Z,,,1914,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68a336549f9a4253b41705f6,651c1abbc73b6eea8fa97193,RETURNED,Not Applicable,2025-08-18T14:19:06.569000Z,,,2025-08-18T15:53:04.602219Z,,,4016,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68a3365e17b1c5f48c864ff4,67aa691b6df91bf4fdf516b4,AWAITING REVIEW,Not Applicable,2025-08-18T14:19:19.153000Z,2025-08-18T14:46:26.887000Z,,2025-08-18T14:46:27.332943Z,1628.0,C14M5UWB,409,English,"No, I have no issues seeing colours",27,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68a3365f543c423cf3b44757,6756e98b064a0fa2dd7793d4,RETURNED,Not Applicable,2025-08-18T14:19:19.074000Z,,,2025-08-18T15:53:04.606073Z,,,143,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68a3366fd0f62e4986f123bb,6643a8837540ee80f2d5be45,AWAITING REVIEW,Not Applicable,2025-08-18T14:19:32.558000Z,2025-08-18T14:34:47.189000Z,,2025-08-18T14:34:47.642410Z,915.0,C14M5UWB,4039,English,"No, I have no issues seeing colours",57,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68a336703865e3d636b4249b,5ff07b5ee7a1d23e719e421e,AWAITING REVIEW,Not Applicable,2025-08-18T14:20:39.597000Z,2025-08-18T14:52:46.077000Z,,2025-08-18T14:52:46.501149Z,1927.0,C14M5UWB,8173,English,"No, I have no issues seeing colours",70,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
