Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68a4999d511afba623a4d712,60778db7ed3bae21972be1b4,AWAITING REVIEW,Not Applicable,2025-08-19T15:34:58.894000Z,2025-08-19T16:14:24.457000Z,,2025-08-19T16:14:24.951740Z,2366.0,C14M5UWB,2058,English,"No, I have no issues seeing colours",56,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68a499d4462c2acdb7c38bbb,588e02b13326830001bc29cd,AWAITING REVIEW,Not Applicable,2025-08-19T15:37:51.698000Z,2025-08-19T15:59:19.716000Z,,2025-08-19T15:59:20.209645Z,1289.0,C14M5UWB,5037,English,"No, I have no issues seeing colours",44,Female,White,United States,United States,United States,English,No,Full-Time
68a49a51acef8fc78e6e5dae,63e52250d3c1483ed7be8ed8,AWAITING REVIEW,Not Applicable,2025-08-19T15:37:57.286000Z,2025-08-19T16:12:50.328000Z,,2025-08-19T16:12:50.796378Z,2094.0,C14M5UWB,6701,English,"No, I have no issues seeing colours",50,Female,Asian,Philippines,United States,United States,Tagalog-Filipino,DATA_EXPIRED,DATA_EXPIRED
68a49a6d0837316d8f114bc6,6173c0bb92e149b4127563fe,AWAITING REVIEW,Not Applicable,2025-08-19T15:38:25.167000Z,2025-08-19T15:56:04.556000Z,,2025-08-19T15:56:05.016935Z,1060.0,C14M5UWB,1982,English,"No, I have no issues seeing colours",47,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68a49a717848fab0006a06a8,6739e4d9335667b4852ccf4e,AWAITING REVIEW,Not Applicable,2025-08-19T15:38:30.372000Z,2025-08-19T16:18:20.830000Z,,2025-08-19T16:18:21.256354Z,2391.0,C14M5UWB,1731,English,"No, I have no issues seeing colours",55,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
68a49a9dc655ec5f504c3bb6,6773d42d35be03a65cf4b3e1,AWAITING REVIEW,Not Applicable,2025-08-19T15:39:14.191000Z,2025-08-19T15:56:03.793000Z,,2025-08-19T15:56:04.244843Z,1010.0,C14M5UWB,1067,English,"No, I have no issues seeing colours",48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68a49aa3e6105faa59ebdf63,5f85f217f845b10f388f2ce7,AWAITING REVIEW,Not Applicable,2025-08-19T15:39:20.417000Z,2025-08-19T15:50:54.635000Z,,2025-08-19T15:50:55.084203Z,695.0,C14M5UWB,5136,English,"No, I have no issues seeing colours",54,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68a49af2c0e04ffbd5bf380c,66c3366a3b5834b89124e85a,AWAITING REVIEW,Not Applicable,2025-08-19T15:41:11.523000Z,2025-08-19T15:59:31.756000Z,,2025-08-19T15:59:32.228519Z,1101.0,C14M5UWB,3745,English,"No, I have no issues seeing colours",48,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68a49af71eb2103fdc33cd35,6824d53b2584274c9b13924e,AWAITING REVIEW,Not Applicable,2025-08-19T15:40:46.001000Z,2025-08-19T16:18:01.629000Z,,2025-08-19T16:18:02.127575Z,2236.0,C14M5UWB,745,English,"No, I have no issues seeing colours",60,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
68a49afea2c5d093b47fcd45,66d1fdd400acfdbc181f41e0,AWAITING REVIEW,Not Applicable,2025-08-19T15:41:25.399000Z,2025-08-19T16:07:37.666000Z,,2025-08-19T16:07:38.075903Z,1573.0,C14M5UWB,1796,English,"No, I have no issues seeing colours",51,Male,White,Canada,United States,Canada,English,No,Full-Time
