Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68a356b2dbdd2333c5ffaab8,5f1088e27a43fe0c64ca5814,AWAITING REVIEW,Not Applicable,2025-08-18T16:37:16.871000Z,2025-08-18T16:56:07.572000Z,,2025-08-18T16:56:07.988801Z,1131.0,C14M5UWB,889,English,"No, I have no issues seeing colours",58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68a356b4b134191c6dc3bef9,5adae3ebdec767000128c131,AWAITING REVIEW,Not Applicable,2025-08-18T16:37:15.664000Z,2025-08-18T16:59:53.460000Z,,2025-08-18T16:59:53.904707Z,1358.0,C14M5UWB,1398,English,"No, I have no issues seeing colours",62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68a356b7bc2d88332bc819af,61656042f505fd7fa53e8628,APPROVED,Not Applicable,2025-08-18T16:39:21.256000Z,2025-08-18T16:59:45.615000Z,2025-08-18T17:33:11.066000Z,2025-08-18T17:33:11.196813Z,1225.0,NOCODE,3254,English,"No, I have no issues seeing colours",56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
68a356bee88a07d025985b31,66e8c6e99be9621d5b1ed1fa,AWAITING REVIEW,Not Applicable,2025-08-18T16:37:43.141000Z,2025-08-18T17:01:33.032000Z,,2025-08-18T17:01:33.429782Z,1430.0,C14M5UWB,1722,English,"No, I have no issues seeing colours",50,Male,White,United States,United States,United States,English,No,Full-Time
68a356c097c15c132b759eba,67a7e69b82119112d04041fd,AWAITING REVIEW,Not Applicable,2025-08-18T16:37:26.658000Z,2025-08-18T17:04:55.534000Z,,2025-08-18T17:04:56.003546Z,1649.0,C14M5UWB,1492,English,"No, I have no issues seeing colours",48,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68a356c30e9ee95cd44e1a8f,5ee637a18976fc391312fe01,APPROVED,Not Applicable,2025-08-18T16:37:26.796000Z,2025-08-18T17:01:31.958000Z,2025-08-18T17:32:21.823000Z,2025-08-18T17:01:32.348826Z,1446.0,NOCODE,4620,English,"No, I have no issues seeing colours",50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68a356ea9618afdcb0012c22,672c7f537c4a19882d6f9e15,AWAITING REVIEW,Not Applicable,2025-08-18T16:42:52.551000Z,2025-08-18T17:02:17.216000Z,,2025-08-18T17:02:17.659413Z,1165.0,C14M5UWB,1117,English,"No, I have no issues seeing colours",33,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68a3570ceada17f05987c629,666ef3fd835b5b798c2c88b5,AWAITING REVIEW,Not Applicable,2025-08-18T16:38:42.078000Z,2025-08-18T17:11:55.635000Z,,2025-08-18T17:11:56.072949Z,1994.0,C14M5UWB,22,"English, Gujarati","No, I have no issues seeing colours",21,Male,Asian,India,Canada,Canada,English,Yes,Full-Time
68a35731f2b7d9b934d400ce,5edcfe625cd39c9efd5cc2ae,AWAITING REVIEW,Not Applicable,2025-08-18T16:40:10.157000Z,2025-08-18T16:57:08.697000Z,,2025-08-18T16:57:09.138479Z,1019.0,C14M5UWB,4326,"English, Spanish","No, I have no issues seeing colours",40,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68a3573fba5ec5a61d29d1fa,5a9dd20b4eecca0001dd9f1d,AWAITING REVIEW,Not Applicable,2025-08-18T16:44:46.225000Z,2025-08-18T17:22:39.425000Z,,2025-08-18T17:22:39.812504Z,2274.0,C14M5UWB,1920,English,"No, I have no issues seeing colours",43,Male,White,South Africa,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68a35740fd4dd991a22c1bdb,6776db5ec2686c027926581e,AWAITING REVIEW,Not Applicable,2025-08-18T16:39:31.904000Z,2025-08-18T17:01:50.174000Z,,2025-08-18T17:01:50.640583Z,1339.0,C14M5UWB,183,English,"No, I have no issues seeing colours",18,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68a357413752fef54a69e2ee,62989d142aedce04d304cabf,AWAITING REVIEW,Not Applicable,2025-08-18T16:39:34.753000Z,2025-08-18T17:13:26.419000Z,,2025-08-18T17:13:26.879721Z,2032.0,C14M5UWB,1546,English,"No, I have no issues seeing colours",47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68a357421ec2b27bbb540b6a,6466249c27b5e4161f763c32,AWAITING REVIEW,Not Applicable,2025-08-18T16:39:30.563000Z,2025-08-18T17:00:54.460000Z,,2025-08-18T17:00:54.933503Z,1284.0,C14M5UWB,1253,English,"No, I have no issues seeing colours",39,Male,Black,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
68a35744853b9b7b1f433e77,607668ac450fc6e3025a131d,AWAITING REVIEW,Not Applicable,2025-08-18T16:39:32.719000Z,2025-08-18T17:09:14.673000Z,,2025-08-18T17:09:15.141103Z,1782.0,C14M5UWB,1292,English,"No, I have no issues seeing colours",49,Male,Asian,China,United States,United States,Chinese,No,Full-Time
68a35746e88a07d025985b5b,6318be45a49442eee3a88cb3,AWAITING REVIEW,Not Applicable,2025-08-18T16:39:38.433000Z,2025-08-18T16:59:27.944000Z,,2025-08-18T16:59:28.377386Z,1190.0,NOCODE,4163,English,"No, I have no issues seeing colours",70,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68a3575fce47e6cc212d516d,63457ca6ea7e55d2491ec3fc,AWAITING REVIEW,Not Applicable,2025-08-18T16:40:06.224000Z,2025-08-18T16:58:30.864000Z,,2025-08-18T16:58:31.361807Z,1105.0,C14M5UWB,3735,English,"No, I have no issues seeing colours",55,Male,White,United States,United States,United States,English,No,Part-Time
68a3577bb5006382baf35053,640d43c9451ce148162a7643,AWAITING REVIEW,Not Applicable,2025-08-18T16:40:31.594000Z,2025-08-18T16:56:01.804000Z,,2025-08-18T16:56:02.250974Z,931.0,C14M5UWB,9355,English,"No, I have no issues seeing colours",50,Male,White,United States,United States,United States,English,No,Full-Time
68a357a57695bdc394f9477c,62a099bb01ad779df1971ea4,AWAITING REVIEW,Not Applicable,2025-08-18T16:41:14.120000Z,2025-08-18T17:02:05.519000Z,,2025-08-18T17:02:05.952868Z,1252.0,C14M5UWB,7731,English,"No, I have no issues seeing colours",62,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68a357a5ee39f10e1ff54dc5,5a94d2e989de8200013ecab6,AWAITING REVIEW,Not Applicable,2025-08-18T16:41:15.521000Z,2025-08-18T17:00:02.134000Z,,2025-08-18T17:00:02.521895Z,1127.0,C14M5UWB,3341,English,"No, I have no issues seeing colours",31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68a357aa5c88a9859bebe33b,60fce3df91350150e2e88423,AWAITING REVIEW,Not Applicable,2025-08-18T16:41:24.088000Z,2025-08-18T16:58:37.802000Z,,2025-08-18T16:58:38.253761Z,1034.0,C14M5UWB,937,English,"No, I have no issues seeing colours",26,Female,White,Canada,Canada,Canada,English,No,Part-Time
68a357aca258e478fbf94f6a,5a73899f9cdd1800017786f0,AWAITING REVIEW,Not Applicable,2025-08-18T16:41:18.871000Z,2025-08-18T17:19:42.280000Z,,2025-08-18T17:19:42.692158Z,2304.0,C14M5UWB,3028,English,"No, I have no issues seeing colours",39,Male,White,United States,United States,United States,English,No,Full-Time
68a357b04c7bba48a0b59553,57698d52688a5c00018d958d,AWAITING REVIEW,Not Applicable,2025-08-18T16:41:25.559000Z,2025-08-18T17:11:33.195000Z,,2025-08-18T17:11:33.606363Z,1808.0,C14M5UWB,4053,English,"No, I have no issues seeing colours",65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
68a357b05f0e2c0561bc6289,583c25b675d7c80001b73e9a,AWAITING REVIEW,Not Applicable,2025-08-18T16:41:20.298000Z,2025-08-18T17:08:26.111000Z,,2025-08-18T17:08:26.604251Z,1626.0,C14M5UWB,670,English,"No, I have no issues seeing colours",38,Male,White,Australia,Australia,Australia,English,No,DATA_EXPIRED
68a357cb6984c357b392244e,5e35373e1ddb124e6c306747,AWAITING REVIEW,Not Applicable,2025-08-18T16:41:47.938000Z,2025-08-18T17:02:08.152000Z,,2025-08-18T17:02:08.600994Z,1221.0,C14M5UWB,3165,English,"No, I have no issues seeing colours",49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
68a357cc4efe053915c79aed,5af1c4dfaec2b600010a96c9,AWAITING REVIEW,Not Applicable,2025-08-18T16:42:16.575000Z,2025-08-18T17:02:33.532000Z,,2025-08-18T17:02:34.019698Z,1217.0,C14M5UWB,4361,English,"No, I have no issues seeing colours",56,Female,White,United States,United States,United States,English,No,Other
68a357e953d2c2ae13265114,67be05692b18b631ece5fd2e,AWAITING REVIEW,Not Applicable,2025-08-18T16:43:21.261000Z,2025-08-18T17:20:03.682000Z,,2025-08-18T17:20:04.122230Z,2203.0,C14M5UWB,738,English,"No, I have no issues seeing colours",28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68a3581629b47852f4eaa52e,5a0c036857cee70001767a58,AWAITING REVIEW,Not Applicable,2025-08-18T16:43:02.959000Z,2025-08-18T17:10:40.962000Z,,2025-08-18T17:10:41.387910Z,1659.0,C14M5UWB,4250,English,"No, I have no issues seeing colours",55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68a3581d4e47b8ce5a1b1674,5c4f5967aac8be0001716a65,AWAITING REVIEW,Not Applicable,2025-08-18T16:43:11.221000Z,2025-08-18T16:59:02.474000Z,,2025-08-18T16:59:03.493736Z,952.0,C14M5UWB,7088,English,"No, I have no issues seeing colours",34,Male,White,Ireland,United Kingdom,Ireland,English,Yes,Full-Time
68a35823c877f32e9cc38566,67768da63a3511589ce8ffde,AWAITING REVIEW,Not Applicable,2025-08-18T16:43:27.685000Z,2025-08-18T17:05:51.620000Z,,2025-08-18T17:05:52.071344Z,1344.0,C14M5UWB,555,English,"No, I have no issues seeing colours",43,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68a35837d77f541a032f1465,5c309bb410677f0001dda0ed,AWAITING REVIEW,Not Applicable,2025-08-18T16:43:41.115000Z,2025-08-18T17:05:00.382000Z,,2025-08-18T17:05:01.319702Z,1280.0,C14M5UWB,4517,English,"No, I have no issues seeing colours",44,Male,White,United States,United States,United States,English,No,Full-Time
68a35889b5c30beaec07da67,64275e53f51a5ed4f6b7d019,AWAITING REVIEW,Not Applicable,2025-08-18T16:44:57.129000Z,2025-08-18T17:04:37.959000Z,,2025-08-18T17:04:38.402188Z,1181.0,C14M5UWB,7015,"English, Tagalog-Filipino","No, I have no issues seeing colours",42,Male,Asian,Philippines,United States,United States,English,No,DATA_EXPIRED
